"Date","Price","Open","High","Low","Vol.","Change %"
"08/02/2019","3.8778","3.8884","3.8930","3.8696","","-0.26%"
"08/01/2019","3.8881","3.8728","3.9011","3.8696","","0.40%"
"07/31/2019","3.8725","3.8519","3.8805","3.8465","","0.54%"
"07/30/2019","3.8517","3.8481","3.8614","3.8453","","0.11%"
"07/29/2019","3.8475","3.8410","3.8549","3.8338","","0.15%"
"07/26/2019","3.8419","3.8196","3.8470","3.8178","","0.57%"
"07/25/2019","3.8201","3.8177","3.8289","3.8059","","0.10%"
"07/24/2019","3.8163","3.8149","3.8263","3.8116","","0.03%"
"07/23/2019","3.8150","3.7888","3.8186","3.7878","","0.72%"
"07/22/2019","3.7878","3.7896","3.7950","3.7831","","-0.02%"
"07/19/2019","3.7887","3.7724","3.7959","3.7705","","0.45%"
"07/18/2019","3.7719","3.7977","3.8026","3.7719","","-0.66%"
"07/17/2019","3.7971","3.7970","3.8065","3.7935","","0.03%"
"07/16/2019","3.7959","3.7854","3.8020","3.7822","","0.30%"
"07/15/2019","3.7845","3.7882","3.7910","3.7774","","-0.10%"
"07/12/2019","3.7882","3.7924","3.7992","3.7836","","-0.10%"
"07/11/2019","3.7919","3.7924","3.7963","3.7801","","-0.01%"
"07/10/2019","3.7921","3.8117","3.8147","3.7868","","-0.50%"
"07/09/2019","3.8110","3.7954","3.8145","3.7926","","0.43%"
"07/08/2019","3.7946","3.7882","3.8010","3.7822","","0.18%"
"07/05/2019","3.7878","3.7596","3.7973","3.7576","","0.75%"
"07/04/2019","3.7596","3.7585","3.7648","3.7525","","0.03%"
"07/03/2019","3.7583","3.7592","3.7674","3.7474","","0.00%"
"07/02/2019","3.7583","3.7604","3.7636","3.7473","","-0.04%"
"07/01/2019","3.7597","3.7315","3.7630","3.7314","","0.73%"
"06/28/2019","3.7326","3.7392","3.7433","3.7271","","-0.15%"
"06/27/2019","3.7383","3.7469","3.7549","3.7367","","-0.20%"
"06/26/2019","3.7457","3.7448","3.7571","3.7393","","0.04%"
"06/25/2019","3.7441","3.7308","3.7524","3.7259","","0.35%"
"06/24/2019","3.7309","3.7408","3.7449","3.7293","","-0.30%"
"06/21/2019","3.7420","3.7661","3.7752","3.7390","","-0.62%"
"06/20/2019","3.7655","3.7966","3.7986","3.7590","","-0.78%"
"06/19/2019","3.7951","3.8058","3.8126","3.7879","","-0.25%"
"06/18/2019","3.8048","3.7984","3.8136","3.7908","","0.21%"
"06/17/2019","3.7970","3.7971","3.8018","3.7876","","-0.01%"
"06/14/2019","3.7975","3.7735","3.8012","3.7675","","0.65%"
"06/13/2019","3.7729","3.7703","3.7782","3.7645","","0.04%"
"06/12/2019","3.7713","3.7643","3.7727","3.7555","","0.19%"
"06/11/2019","3.7640","3.7673","3.7761","3.7599","","-0.11%"
"06/10/2019","3.7681","3.7585","3.7783","3.7585","","0.27%"
"06/07/2019","3.7581","3.7888","3.8005","3.7534","","-0.81%"
